sex,age,studytime,failures,schoolsup,famsup,paid,activities,internet,higher,absences,G1,G2,target
M,17,1,0,no,yes,no,no,yes,yes,8,11,10,2
F,19,3,2,no,no,no,no,yes,yes,14,15,13,2
M,15,1,0,no,yes,no,yes,yes,yes,4,10,13,1
M,17,2,0,no,yes,no,yes,yes,yes,4,10,10,2
M,18,3,0,no,no,no,yes,no,yes,1,13,12,2
M,16,1,0,no,no,yes,yes,yes,yes,4,8,10,2
M,17,2,0,yes,yes,no,yes,yes,yes,14,11,9,3
M,16,4,0,no,yes,yes,no,yes,yes,0,13,15,1
M,15,4,0,no,no,no,no,yes,yes,0,10,10,2
F,16,2,0,no,no,yes,yes,yes,yes,10,11,12,2
F,15,2,0,no,yes,yes,yes,yes,yes,0,14,15,1
F,15,2,0,no,yes,yes,no,yes,yes,0,10,8,3
M,16,1,0,no,yes,no,yes,yes,yes,10,10,8,3
F,17,3,0,no,yes,yes,yes,yes,yes,4,9,10,2
F,18,1,3,no,yes,no,yes,no,yes,6,9,8,2
F,17,1,0,no,yes,no,no,yes,yes,18,7,6,3
F,17,2,0,no,no,no,no,no,yes,0,12,11,2
F,17,2,0,no,yes,no,no,yes,yes,4,10,9,2
M,16,2,0,no,yes,no,yes,yes,yes,0,13,13,2
M,21,1,3,no,no,no,no,no,yes,3,10,8,3
F,16,2,1,no,yes,no,yes,yes,yes,25,7,10,2
F,18,2,0,no,yes,yes,yes,yes,yes,0,8,8,3
M,16,3,0,no,yes,no,yes,yes,yes,0,16,17,0
F,17,2,0,no,no,no,yes,no,yes,2,13,11,2
F,18,4,0,no,no,no,yes,no,yes,0,10,9,3
M,16,1,2,no,yes,no,yes,yes,yes,0,6,5,3
M,18,2,0,no,yes,yes,yes,yes,yes,9,15,13,1
F,18,2,0,no,yes,yes,no,yes,yes,10,14,12,2
M,18,2,1,no,yes,yes,no,yes,yes,13,6,6,3
F,17,3,1,no,yes,yes,no,yes,yes,28,10,9,3
M,16,2,0,no,no,no,yes,yes,yes,2,15,15,0
F,17,3,0,no,yes,yes,yes,yes,yes,7,10,9,3
F,17,2,0,no,yes,yes,no,no,yes,4,9,9,2
F,16,3,0,no,yes,no,yes,yes,yes,0,13,13,1
F,16,3,0,yes,yes,yes,yes,yes,yes,2,10,9,3
M,18,1,1,no,no,no,no,yes,no,4,6,9,3
M,18,2,0,no,yes,yes,yes,yes,yes,11,12,11,2
M,16,1,0,no,yes,yes,yes,yes,yes,2,11,12,2
F,15,4,0,yes,no,no,no,no,yes,10,10,11,2
F,18,2,0,no,no,yes,no,yes,yes,0,15,15,1
M,17,2,0,no,no,yes,yes,yes,yes,12,7,8,3
F,16,1,2,no,yes,yes,no,yes,yes,14,6,9,3
M,16,2,0,no,yes,yes,yes,yes,yes,10,9,8,3
M,19,2,1,no,yes,no,yes,yes,yes,20,15,14,2
M,15,2,0,no,no,no,no,yes,yes,0,13,14,1
F,18,3,0,no,yes,yes,yes,yes,yes,9,9,10,3
F,16,1,0,no,no,no,no,yes,yes,2,14,14,2
M,17,2,0,no,no,no,no,no,yes,4,8,9,2
M,17,1,0,no,no,no,yes,yes,yes,3,14,15,0
M,18,1,0,no,yes,yes,no,yes,yes,5,16,15,0
F,17,2,0,no,no,no,yes,yes,yes,0,14,15,1
M,16,3,0,no,yes,no,yes,yes,yes,7,15,16,1
M,15,2,2,yes,yes,no,no,yes,yes,6,5,9,3
F,16,2,0,no,yes,no,yes,yes,yes,2,16,16,0
F,17,2,0,no,yes,no,no,yes,yes,4,5,5,3
F,18,2,0,no,yes,no,no,yes,no,0,6,0,3
F,18,2,0,no,yes,no,no,yes,yes,0,11,11,2
F,18,2,0,no,yes,no,no,no,yes,0,10,9,3
F,16,2,0,no,yes,yes,no,no,yes,4,6,10,2
F,16,2,0,yes,no,no,no,yes,yes,2,16,16,0
M,15,2,0,no,yes,yes,no,no,yes,2,15,15,1
M,15,1,0,no,yes,yes,no,yes,yes,2,12,12,2
F,18,2,0,yes,no,no,no,no,yes,6,5,6,3
F,19,3,1,no,no,yes,no,no,yes,12,14,13,2
M,17,1,3,no,yes,no,no,yes,yes,0,5,0,3
F,16,2,0,no,no,yes,yes,yes,yes,8,8,9,2
M,18,1,0,no,no,no,no,yes,yes,4,10,10,2
F,17,4,0,no,yes,yes,yes,yes,yes,0,17,17,0
F,16,2,1,yes,no,no,yes,yes,yes,6,10,13,2
F,15,2,0,no,yes,yes,no,yes,yes,2,10,11,2
F,15,1,0,yes,yes,yes,no,yes,yes,0,8,10,2
M,15,2,0,no,yes,yes,yes,yes,yes,0,16,18,0
M,16,1,1,no,yes,no,yes,no,no,16,12,11,2
F,17,3,0,no,no,no,yes,no,yes,4,10,9,3
F,17,3,0,no,yes,no,no,yes,yes,1,12,14,1
M,18,2,0,no,yes,yes,yes,yes,yes,10,10,9,2
F,17,2,0,no,no,no,yes,yes,yes,14,13,13,1
M,15,1,0,yes,yes,yes,yes,yes,yes,2,10,12,2
M,15,1,0,no,yes,yes,no,yes,yes,0,12,15,1
M,15,1,0,no,no,no,yes,yes,yes,6,18,19,0
F,17,3,1,no,yes,no,yes,no,yes,0,6,5,3
F,18,2,0,no,no,no,no,yes,no,75,10,9,3
F,16,2,0,no,yes,yes,no,yes,yes,14,12,13,2
M,18,2,0,no,no,no,yes,yes,yes,8,15,14,1
M,20,1,0,no,no,no,yes,no,yes,0,17,18,0
F,17,1,0,no,yes,no,no,yes,yes,12,10,13,2
F,16,2,0,no,yes,no,yes,no,yes,6,10,11,2
M,17,2,1,no,yes,no,yes,yes,yes,20,9,7,3
F,19,3,1,no,no,no,no,yes,yes,40,13,11,2
M,17,1,0,no,no,no,no,yes,no,2,10,10,2
F,17,2,0,no,yes,yes,yes,yes,yes,4,12,13,2
F,17,2,0,no,yes,no,yes,yes,yes,2,6,6,3
F,18,2,1,yes,yes,no,yes,yes,yes,15,9,8,3
F,17,2,0,no,yes,yes,no,yes,yes,2,10,10,2
F,16,4,0,no,no,yes,no,yes,yes,0,11,11,2
F,15,2,2,yes,yes,no,no,yes,yes,2,8,6,3
F,18,4,0,no,yes,yes,yes,yes,yes,4,15,14,1
F,17,1,0,no,yes,yes,no,no,yes,12,8,10,2
F,17,1,1,no,yes,no,no,yes,yes,24,18,18,0
F,17,3,0,no,yes,yes,no,yes,yes,4,14,14,1
M,17,2,0,no,yes,yes,yes,yes,yes,4,13,11,2
F,18,2,0,no,no,no,yes,yes,yes,0,7,0,3
F,17,3,0,no,no,no,no,yes,yes,16,16,15,1
M,17,1,0,no,no,yes,yes,yes,yes,30,8,8,3
F,17,2,0,no,yes,yes,yes,yes,yes,0,16,15,1
F,16,2,0,yes,yes,no,no,no,yes,4,7,6,3
F,17,1,0,no,no,no,yes,yes,yes,14,6,5,3
M,15,4,0,no,yes,no,yes,yes,yes,4,13,13,2
M,17,1,0,no,yes,yes,no,yes,yes,4,14,12,2
F,16,1,0,no,no,no,no,yes,yes,16,12,11,2
M,17,2,0,no,yes,yes,yes,no,yes,2,15,14,1
M,15,2,0,yes,no,yes,yes,no,yes,2,11,8,3
M,15,4,0,yes,yes,no,no,yes,yes,0,7,9,3
M,16,2,0,no,yes,no,no,no,yes,18,8,6,3
F,20,3,2,no,yes,yes,no,yes,yes,4,15,14,1
F,17,4,0,no,yes,yes,no,no,yes,6,18,18,0
F,16,2,0,yes,yes,yes,no,yes,yes,0,12,13,1
F,16,3,1,yes,yes,no,yes,yes,yes,0,7,10,2
M,15,1,1,no,no,no,no,no,yes,6,11,11,2
F,17,3,0,no,yes,yes,no,yes,yes,0,15,12,1
M,15,2,0,no,no,no,yes,yes,yes,0,8,10,2
F,18,3,0,no,no,yes,no,no,yes,2,10,9,2
F,18,3,0,no,no,no,no,yes,yes,0,18,16,0
M,17,2,0,no,no,yes,yes,yes,yes,4,14,13,2
M,18,4,0,no,yes,no,yes,yes,yes,2,9,8,3
M,18,1,1,no,no,no,no,yes,no,7,8,7,3
M,16,1,0,no,no,no,yes,no,yes,0,8,9,3
M,17,2,0,no,yes,yes,yes,yes,yes,4,11,11,2
M,15,2,0,no,yes,yes,yes,yes,yes,6,9,9,2
F,18,2,0,no,no,no,no,no,yes,0,13,13,2
M,16,1,0,no,no,no,yes,yes,yes,0,13,12,2
F,17,2,0,yes,yes,no,no,no,yes,6,6,5,3
F,18,3,0,no,yes,yes,no,yes,yes,0,7,0,3
F,15,3,0,no,yes,yes,yes,yes,yes,2,15,14,1
F,18,2,0,no,yes,yes,no,no,yes,2,11,11,2
M,18,2,1,no,yes,no,no,yes,yes,8,3,5,3
F,17,3,0,no,yes,yes,no,yes,yes,0,15,15,1
